name,id,date,mv
Jose Sa,249994,2021-02-12,€7500000
Marcel Sabitzer,106987,2021-05-27,€42000000
Leon Sabua,476142,2021-05-24,€350000
Matvei Safonov,318470,2021-05-26,€14000000
Hiroki Sakai,83002,2021-06-04,€4000000
Mohamed Salah,148455,2021-06-08,€100000000
Romain Salin,23974,2021-06-04,€500000
Alexis Sanchez,40433,2021-06-03,€7500000
Jadon Sancho,401173,2021-05-28,€100000000
Alex Sandro,79960,2021-06-03,€20000000
Leroy Sane,192565,2021-06-01,€60000000
Morgan Sanson,174094,2021-06-08,€16000000
Douglas Santos,220793,2021-06-02,€16000000
Zaidu Sanusi,544784,2021-05-21,€8000000
Pablo Sarabia,74230,2021-05-31,€22000000
Bouna Sarr,190685,2021-06-09,€4000000
Malang Sarr,344596,2021-05-21,€10000000
Stefan Savic,107010,2021-06-10,€25000000
Alexander Scholz,153582,2021-06-04,€2500000
Siebe Schrijvers,208552,2021-06-07,€2200000
Nico Schulz,85867,2021-06-09,€6000000
Perr Schuurs,418543,2021-05-19,€8000000
Ruben Semedo,197602,2021-02-12,€8000000
Stefano Sensi,216179,2021-05-25,€13000000
Artem Shabanov,236468,2021-05-21,€1500000
Daniil Shamkin,601445,2021-06-02,€800000
Mykola Shaparenko,368611,2021-05-27,€8000000
Xherdan Shaqiri,86792,2021-05-25,€12000000
Luke Shaw,183288,2021-05-28,€35000000
Volodymyr Shepelyev,294746,2021-06-07,€2500000
David Siger,75164,2021-06-01,€1000000
Bernardo Silva,241641,2021-06-01,€70000000
Thiago Silva,29241,2021-06-08,€3000000
Aleksandr Silyanov,515051,2021-06-02,€300000
Pione Sisto,252641,2021-06-04,€4500000
Milan Skriniar,204069,2021-05-31,€60000000
Martin Skrtel,24180,2021-04-09,€400000
Igor Smolnikov,46635,2021-06-02,€1500000
Fyodor Smolov,50355,2021-06-02,€6000000
Eduard Sobol,206717,2021-05-27,€3000000
Manor Solomon,396638,2021-06-07,€20000000
Somalia,148754,2021-06-01,€1000000
Yann Sommer,42205,2021-05-25,€6000000
Brandon Soppy,546880,2021-06-04,€7000000
Yegor Sorokin,288721,2021-06-02,€1800000
Hillel Soudani,174842,2021-06-18,€500000
Eduard Spertsyan,515744,2021-06-02,€800000
Marco Sportiello,199976,2021-06-03,€2000000
Cican Stankovic,127679,2021-06-02,€1500000
Zack Steffen,221624,2021-06-08,€6000000
Taras Stepanenko,59970,2021-05-27,€7500000
Raheem Sterling,134425,2021-05-28,€90000000
Angelo Stiller,443710,2021-06-14,€2500000
Lars Stindl,48298,2021-06-09,€5000000
John Stones,186590,2021-05-28,€30000000
Thomas Strakosha,222209,2021-06-03,€14000000
Kevin Strootman,68864,2021-06-03,€5000000
Luis Suarez,44352,2021-06-10,€15000000
Luka Sucic,502722,2021-06-02,€3000000
Heorhii Sudakov,623325,2021-05-27,€800000
Niklas Sule,166601,2021-06-01,€35000000
Magomed-Shapi Suleymanov,335725,2021-06-02,€6000000
Vladyslav Supriaha,419061,2021-06-07,€6000000
Suso,111961,2021-06-10,€20000000
Aleksei Sutormin,217033,2021-06-02,€2500000
Erik Sviatchenko,48907,2021-06-04,€2000000
Serhiy Sydorchuk,124182,2021-05-27,€4000000
Wojciech Szczesny,44058,2021-05-31,€25000000
Dominik Szoboszlai,451276,2021-06-01,€25000000
Alexander Sorloth,238407,2021-06-09,€16000000
Dusan Tadic,36139,2021-05-19,€18000000
Nicolas Tagliafico,131225,2021-05-19,€22000000
Taison,76028,2021-05-28,€7000000
Flavien Tait,202278,2021-06-04,€5000000
Mehdi Taremi,307058,2021-05-21,€16000000
Mahmut Tekdemir,54177,2021-05-25,€800000
Alex Telles,255755,2021-06-08,€20000000
Marc-Andre ter Stegen,74857,2021-06-10,€60000000
Martin Terrier,442891,2021-06-04,€13000000
Tete,371256,2021-06-07,€20000000
Florian Thauvin,184892,2021-06-04,€17000000
Marcus Thuram,318528,2021-06-01,€35000000
Steffen Tigges,296879,2021-06-09,€1200000
Jurrien Timber,420243,2021-05-27,€11000000
Corentin Tolisso,190393,2021-06-01,€20000000
Rafael Toloi,72441,2021-05-25,€15000000
Mehmet Topal,44402,2021-05-21,€350000
Lucas Torreira,318077,2021-06-10,€20000000
Ferran Torres,398184,2021-05-31,€50000000
Oliver Torres,214775,2021-06-10,€13000000
Hamari Traore,297070,2021-06-04,€8000000
Ibrahima Traore,47285,2021-06-09,€600000
Francisco Trincao,412669,2021-06-10,€22000000
Kieran Trippier,95810,2021-05-28,€20000000
Anatolii Trubin,537844,2021-05-27,€8000000
Adrien Truffert,654539,2021-06-04,€12000000
Kostas Tsimikas,338070,2021-06-08,€8000000
Viktor Tsyhankov,264372,2021-05-27,€25000000
Axel Tuanzebe,342046,2021-06-08,€8000000
Deniz Turuc,216662,2021-05-21,€3100000
Andreas Ulmer,31196,2021-06-02,€800000
Samuel Umtiti,126540,2021-06-10,€8000000
Dayot Upamecano,344695,2021-06-09,€60000000
Mateus Uribe,214538,2021-05-21,€15000000
Daniil Utkin,375667,2021-06-02,€2500000
Myrto Uzuni,315289,2021-06-01,€3000000
Tomas Vaclik,64000,2021-05-28,€4000000
Mathieu Valbuena,40687,2021-02-12,€1000000
Albert Vallci,261935,2021-06-02,€2500000
Federico Valverde,369081,2021-06-10,€65000000
Thomas Van den Keybus,502298,2021-06-07,€500000
Ignace Van Der Brempt,490423,2021-06-07,€1200000
Hans Vanaken,137576,2021-05-26,€13000000
Raphael Varane,164770,2021-06-01,€70000000
Franco Vazquez,76163,2021-06-10,€4000000
Lucas Vazquez,221316,2021-06-10,€15000000
Benjamin Verbic,188180,2021-06-07,€5500000
Marco Verratti,102558,2021-05-25,€55000000
Lasse Vibe,62680,2021-06-04,€300000
Arturo Vidal,37666,2021-06-03,€3500000
Fabio Vieira,537598,2021-05-21,€9000000
Tonny Vilhena,182581,2021-06-02,€8000000
Ruben Vinagre,357158,2021-05-21,€5000000
Edin Visca,109217,2021-05-21,€8000000
Vitao,428783,2021-06-07,€3000000
Vitolo,67082,2021-06-10,€4000000
Bohdan Viunnyk,623331,2021-06-07,€400000
Ruud Vormer,45864,2021-06-07,€4000000
Stefan de Vrij,111196,2021-05-27,€50000000
Marious Vrousai,395632,2021-02-12,€1500000
Kyle Walker,95424,2021-05-28,€28000000
Aaron Wan-Bissaka,477758,2021-06-08,€40000000
Wanderson,236202,2021-06-02,€9000000
Wendel,499721,2021-06-02,€17000000
Oscar Wendt,19305,2021-06-09,€600000
Timo Werner,170527,2021-06-01,€65000000
Georginio Wijnaldum,49499,2021-05-27,€30000000
Brandon Williams,507700,2021-06-08,€10000000
Neco Williams,503680,2021-05-25,€8000000
Rhys Williams,503679,2021-06-08,€5000000
Axel Witsel,35047,2021-05-26,€9000000
Maximilian Wober,263361,2021-06-02,€8000000
Hannes Wolf,321070,2021-06-09,€8000000
Ashley Young,14086,2021-06-03,€1000000
Illia Zabarnyi,659089,2021-05-27,€6000000
Dan-Axel Zagadou,344598,2021-06-09,€18000000
Denis Zakaria,334526,2021-05-25,€30000000
Duvan Zapata,73794,2021-06-03,€33000000
Rifat Zhemaletdinov,267383,2021-05-26,€4000000
Yuri Zhirkov,16760,2021-05-26,€300000
Dmitri Zhivoglyadov,178335,2021-06-02,€2000000
Oleksandr Zinchenko,203853,2021-05-27,€25000000
Joshua Zirkzee,435648,2021-06-03,€8000000
Hakim Ziyech,217111,2021-06-08,€38000000
Kurt Zouma,157509,2021-06-01,€32000000
Oleksandr Zubkov,289075,2021-05-27,€2000000
Martin Odegaard,316264,2021-06-08,€40000000

