,Player Name,League,Squad,Country,Position,Annualized Salary
0,I. Winter,A,Fanatical Outlaws,Danan Seekeeling,DF,26230000
1,P. Nakubulwa,A,Fanatical Outlaws,Dosqaly,DF,10180000
2,Z. Iqbal,A,Fanatical Outlaws,Galamily,DF,27000000
3,F. Kizito,A,Fanatical Outlaws,People's Land of Maneau,DF,19740000
4,L. Rezaei,A,Fanatical Outlaws,People's Land of Maneau,DF,27030000
5,S. Anyait,A,Fanatical Outlaws,People's Land of Maneau,DF,18960000
6,J. Teko,A,Fanatical Outlaws,Sobianitedrucy,DF,8020000
7,I. Huber,A,Fanatical Outlaws,Lenia Gerdanho,DFFW,27600000
8,J. Bala,A,Fanatical Outlaws,People's Land of Maneau,DFFW,23030000
9,D. Oren,A,Fanatical Outlaws,Central Diasongo,FW,30120000
10,I. Namirimu,A,Fanatical Outlaws,Thaijagypt,FW,25950000
11,M. Namukwaya,A,Fanatical Outlaws,Ngoque Blicri,FWDF,27750000
12,J. Akello,A,Fanatical Outlaws,Bernepamar,FWMF,29220000
13,I. Kamukama,A,Fanatical Outlaws,Lefghau,FWMF,34090000
14,W. Lew,A,Fanatical Outlaws,Nganion,FWMF,23090000
15,B. De Rosa,A,Fanatical Outlaws,People's Land of Maneau,FWMF,27370000
16,D. John,A,Fanatical Outlaws,Pierrema,FWMF,32840000
17,S. Kiconco,A,Fanatical Outlaws,Nkasland Cronestan,GK,17580000
18,R. Chee,A,Fanatical Outlaws,Southslands,GK,5250000
19,F. Pop,A,Fanatical Outlaws,Galamily,MF,32160000
20,D. Alshehri,A,Fanatical Outlaws,People's Land of Maneau,MF,21620000
21,I. Iddrisu,A,Fanatical Outlaws,People's Land of Maneau,MF,17300000
22,E. Taylor,A,Fanatical Outlaws,People's Land of Maneau,MFFW,32720000
23,H. Tourgeman,A,Fanatical Outlaws,Rarita,MFFW,30700000
24,Q. Hor,A,Fighting Cougars,Byasier Pujan,DF,15100000
25,D. Ikeda,A,Fighting Cougars,People's Land of Maneau,DF,17210000
26,G. Köhler,A,Fighting Cougars,People's Land of Maneau,DF,23440000
27,I. Ludwig,A,Fighting Cougars,People's Land of Maneau,DF,27450000
28,K. Tóth,A,Fighting Cougars,People's Land of Maneau,DF,26350000
29,U. Ortíz,A,Fighting Cougars,People's Land of Maneau,DF,15200000
30,Y. Rabinovitch,A,Fighting Cougars,Western Niasland,DF,15950000
31,R. Petrenko,A,Fighting Cougars,Lefghau,DFMF,18590000
32,D. Kikuchi,A,Fighting Cougars,Nkasland Cronestan,DFMF,19140000
33,Z. ?no,A,Fighting Cougars,People's Land of Maneau,DFMF,14730000
34,W. Nabatanzi,A,Fighting Cougars,Esia,FW,10230000
35,V. Taheri,A,Fighting Cougars,People's Land of Maneau,FW,28630000
36,R. binti Hassan,A,Fighting Cougars,Southslands,FW,18910000
37,K. Gonçalves,A,Fighting Cougars,Quewenia,FWDF,30370000
38,G. Bellini,A,Fighting Cougars,Buhegeor,FWMF,24400000
39,L. Wafula,A,Fighting Cougars,Dosqaly,FWMF,24770000
40,M. Hsieh,A,Fighting Cougars,Lonnia Haba,FWMF,17540000
41,F. Cho,A,Fighting Cougars,Southern Ristan,FWMF,32370000
42,Z. Marini,A,Fighting Cougars,Central Republic of Boekrainego,GK,22740000
43,P. Robinson,A,Fighting Cougars,Nganion,GK,22460000
44,I. Azulay,A,Fighting Cougars,Byasier Pujan,MF,21300000
45,H. Narvaez,A,Fighting Cougars,Reugha,MF,18780000
46,R. Matovu,A,Fighting Cougars,Southslands,MF,2620000
47,P. Chew,A,Fighting Cougars,Esia,MFDF,28480000
48,O. Kia,A,Fighting Cougars,Western Niasland,MFDF,23910000
49,Q. Nabimanya,A,Fighting Cougars,Imaar Vircoand,MFFW,10780000
50,I. Ocen,A,Fighting Cougars,People's Land of Maneau,MFFW,28360000
51,D. Daniel,A,Great Galactic Gorgons,People's Land of Maneau,DF,13630000
52,F. Kembabazi,A,Great Galactic Gorgons,People's Land of Maneau,DF,18790000
53,F. Lieu,A,Great Galactic Gorgons,People's Land of Maneau,DF,3260000
54,H. Akugizibwe,A,Great Galactic Gorgons,People's Land of Maneau,DF,18580000
55,I. Akpan,A,Great Galactic Gorgons,People's Land of Maneau,DF,20540000
56,T. Awuah,A,Great Galactic Gorgons,People's Land of Maneau,DF,17100000
57,T. Barigye,A,Great Galactic Gorgons,People's Land of Maneau,DF,15110000
58,U. Ban,A,Great Galactic Gorgons,People's Land of Maneau,DF,31340000
